Valor          Frequencia
641                 4
641                 4
641                 4
641                 4
392                 4
392                 4
392                 4
392                 4
954                 3
354                 3
354                 3
354                 3
353                 3
353                 3
353                 3
954                 3
820                 3
954                 3
100                 3
100                 3
100                 3
820                 3
584                 3
584                 3
820                 3
584                 3
194                 3
194                 3
194                 3
43                 3
43                 3
422                 3
43                 3
422                 3
422                 3
844                 2
296                 2
843                 2
843                 2
502                 2
502                 2
265                 2
265                 2
273                 2
273                 2
697                 2
492                 2
492                 2
708                 2
708                 2
296                 2
430                 2
877                 2
364                 2
430                 2
745                 2
196                 2
545                 2
545                 2
200                 2
200                 2
877                 2
844                 2
854                 2
229                 2
229                 2
854                 2
232                 2
232                 2
696                 2
696                 2
697                 2
459                 2
403                 2
815                 2
815                 2
781                 2
811                 2
811                 2
348                 2
348                 2
781                 2
818                 2
459                 2
723                 2
723                 2
364                 2
473                 2
357                 2
357                 2
473                 2
743                 2
480                 2
477                 2
745                 2
310                 2
310                 2
311                 2
311                 2
743                 2
480                 2
408                 2
408                 2
403                 2
316                 2
316                 2
196                 2
477                 2
818                 2
83                 2
969                 2
969                 2
54                 2
54                 2
965                 2
965                 2
962                 2
962                 2
955                 2
955                 2
83                 2
616                 2
90                 2
90                 2
91                 2
91                 2
92                 2
192                 2
935                 2
935                 2
130                 2
130                 2
133                 2
24                 2
635                 2
635                 2
6                 2
6                 2
640                 2
640                 2
13                 2
13                 2
617                 2
617                 2
24                 2
92                 2
978                 2
978                 2
616                 2
974                 2
33                 2
33                 2
35                 2
35                 2
974                 2
42                 2
42                 2
889                 2
154                 2
154                 2
159                 2
159                 2
552                 2
900                 2
133                 2
896                 2
896                 2
552                 2
900                 2
889                 2
177                 2
177                 2
885                 2
885                 2
181                 2
181                 2
187                 2
187                 2
192                 2
148                 2
148                 2
556                 2
562                 2
556                 2
562                 2
726                 1
681                 1
727                 1
733                 1
649                 1
652                 1
736                 1
677                 1
654                 1
738                 1
739                 1
740                 1
656                 1
657                 1
639                 1
744                 1
827                 1
661                 1
674                 1
659                 1
662                 1
645                 1
644                 1
642                 1
667                 1
713                 1
666                 1
711                 1
693                 1
664                 1
720                 1
724                 1
699                 1
704                 1
705                 1
689                 1
687                 1
684                 1
683                 1
646                 1
680                 1
913                 1
941                 1
939                 1
932                 1
931                 1
929                 1
927                 1
926                 1
921                 1
920                 1
919                 1
942                 1
908                 1
905                 1
904                 1
903                 1
890                 1
884                 1
880                 1
879                 1
878                 1
874                 1
972                 1
998                 1
996                 1
994                 1
990                 1
989                 1
988                 1
987                 1
981                 1
976                 1
973                 1
869                 1
966                 1
964                 1
961                 1
959                 1
958                 1
957                 1
949                 1
948                 1
944                 1
780                 1
819                 1
813                 1
810                 1
807                 1
802                 1
798                 1
795                 1
791                 1
787                 1
783                 1
823                 1
779                 1
778                 1
777                 1
776                 1
775                 1
771                 1
769                 1
762                 1
750                 1
840                 1
864                 1
863                 1
862                 1
857                 1
853                 1
850                 1
848                 1
845                 1
842                 1
841                 1
748                 1
839                 1
835                 1
834                 1
833                 1
832                 1
831                 1
488                 1
825                 1
824                 1
172                 1
214                 1
212                 1
209                 1
208                 1
201                 1
199                 1
197                 1
190                 1
180                 1
179                 1
175                 1
215                 1
169                 1
166                 1
165                 1
162                 1
161                 1
160                 1
151                 1
150                 1
145                 1
144                 1
143                 1
250                 1
294                 1
292                 1
291                 1
290                 1
287                 1
285                 1
280                 1
277                 1
256                 1
254                 1
251                 1
141                 1
249                 1
242                 1
241                 1
238                 1
237                 1
236                 1
231                 1
223                 1
222                 1
220                 1
218                 1
28                 1
68                 1
64                 1
61                 1
60                 1
59                 1
53                 1
51                 1
50                 1
48                 1
45                 1
41                 1
70                 1
27                 1
26                 1
25                 1
18                 1
17                 1
16                 1
10                 1
9                 1
7                 1
4                 1
1                 1
106                 1
140                 1
138                 1
137                 1
134                 1
129                 1
128                 1
125                 1
123                 1
121                 1
110                 1
107                 1
298                 1
105                 1
103                 1
97                 1
88                 1
82                 1
81                 1
75                 1
74                 1
72                 1
71                 1
510                 1
548                 1
539                 1
533                 1
530                 1
528                 1
527                 1
525                 1
517                 1
515                 1
514                 1
513                 1
553                 1
500                 1
498                 1
497                 1
494                 1
490                 1
0                 1
476                 1
475                 1
465                 1
464                 1
461                 1
600                 1
626                 1
625                 1
623                 1
622                 1
621                 1
612                 1
609                 1
608                 1
607                 1
606                 1
601                 1
456                 1
594                 1
589                 1
588                 1
585                 1
583                 1
577                 1
567                 1
560                 1
557                 1
554                 1
344                 1
395                 1
386                 1
382                 1
381                 1
373                 1
372                 1
368                 1
361                 1
355                 1
347                 1
345                 1
396                 1
336                 1
331                 1
328                 1
325                 1
324                 1
320                 1
317                 1
315                 1
308                 1
307                 1
304                 1
426                 1
454                 1
453                 1
452                 1
451                 1
446                 1
445                 1
443                 1
438                 1
434                 1
431                 1
428                 1
633                 1
423                 1
419                 1
418                 1
416                 1
413                 1
412                 1
404                 1
402                 1
401                 1
399                 1
